1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
2 1 TRANS40662 tumblr_njw2gle3ek1u8uroco1_400 What does the cat do after raise head up ?open	What does the cat do after raise head up ?shake head	What does the cat do after raise head up ?close mouth	What does the cat do after raise head up ?run hand through hair	What does the cat do after raise head up ?point up
4 1 TRANS33983 tumblr_nailsyrmmY1tcf4azo1_500 What does the man do before get punched in face ?smile	What does the man do before get punched in face ?run	What does the man do before get punched in face ?bite the car's license	What does the man do before get punched in face ?hug tightly	What does the man do before get punched in face ?kiss a woman
1 2 TRANS48379 tumblr_nr6wu9RNsq1uz4yjlo1_500 What does the woman do before turn body around ?talk with a woman	What does the woman do before turn body around ?look to left	What does the woman do before turn body around ?stroke hair	What does the woman do before turn body around ?pick up guitar	What does the woman do before turn body around ?stand up
4 2 TRANS23992 tumblr_n8rofawlJC1tf5z60o1_250 What does the woman do after stick out tongue ?flip forward	What does the woman do after stick out tongue ?dance	What does the woman do after stick out tongue ?close certain	What does the woman do after stick out tongue ?scratch itself	What does the woman do after stick out tongue ?nod head
4 1 TRANS58446 tumblr_ngi5u3ur0k1tp3tpno1_400 What does the man do after turn head ?start to walk away	What does the man do after turn head ?bend down	What does the man do after turn head ?run	What does the man do after turn head ?pick up left hand	What does the man do after turn head ?look down
3 1 TRANS23017 tumblr_nqivtqoJ981u6krjho1_500 What does the woman do before look down ?listen	What does the woman do before look down ?brush face	What does the woman do before look down ?kick legs	What does the woman do before look down ?talk	What does the woman do before look down ?raise eyebrow
2 3 TRANS46853 tumblr_nilz0gBZcA1sj2m5ko1_500 What does the man do before look forward ?flip over	What does the man do before look forward ?step forward	What does the man do before look forward ?move backward	What does the man do before look forward ?drink	What does the man do before look forward ?turning to side
4 2 TRANS52394 tumblr_nhg1prJJSf1u75yfvo1_500 What does the man do after hold hand to mouth ?touch hair	What does the man do after hold hand to mouth ?walk in to small room	What does the man do after hold hand to mouth ?blow a kiss at camera	What does the man do after hold hand to mouth ?open mouth wide	What does the man do after hold hand to mouth ?raise finger gun
1 0 TRANS14220 tumblr_nq7k6pBzzN1qm466ao1_500 What does the man do after look forward ?smoke cigarette	What does the man do after look forward ?cross finger	What does the man do after look forward ?return to original position	What does the man do after look forward ?stretch arms out	What does the man do after look forward ?perform kick flip
4 3 TRANS51516 tumblr_nbf91jwgZX1qzrg8co1_400 What does the man do after back up ?raise eye	What does the man do after back up ?talk into microphone	What does the man do after back up ?smile	What does the man do after back up ?grab a sledge hammer	What does the man do after back up ?fall over
0 4 TRANS40358 tumblr_n8ptqhbSXp1rjwte6o1_400 What does the woman do after talk to man ?point	What does the woman do after talk to man ?open eye	What does the woman do after talk to man ?close eye	What does the woman do after talk to man ?run across the porch	What does the woman do after talk to man ?shake head around
1 4 TRANS24317 tumblr_noyzyxj6MC1u6z5ppo1_400 What does the lady do before point forward ?kiss the girl	What does the lady do before point forward ?rock hips	What does the lady do before point forward ?walk on street	What does the lady do before point forward ?man sing	What does the lady do before point forward ?adjust a large doll
4 0 TRANS39211 tumblr_nnncvfE8HF1r1zo9yo1_400 What does the boy with striped shirt do before wear expression of shock ?watch calmly	What does the boy with striped shirt do before wear expression of shock ?lift arm	What does the boy with striped shirt do before wear expression of shock ?raise hand	What does the boy with striped shirt do before wear expression of shock ?roll eye	What does the boy with striped shirt do before wear expression of shock ?reach for the woman
4 2 TRANS40556 tumblr_njogkeiWRk1u8baolo1_400 What does the dancer do after lower arm ?head up	What does the dancer do after lower arm ?face camera	What does the dancer do after lower arm ?leap	What does the dancer do after lower arm ?talk	What does the dancer do after lower arm ?keep hand in lap
3 2 TRANS58349 tumblr_n069vwZcxH1sli2hso1_500 What does the man do before raise fist ?throw up ball	What does the man do before raise fist ?run forward	What does the man do before raise fist ?smile	What does the man do before raise fist ?jump	What does the man do before raise fist ?pick up sand
4 0 TRANS15153 tumblr_n9mkavVnfx1tix523o1_500 What does the man do before take a drink ?lift up cup	What does the man do before take a drink ?confuse	What does the man do before take a drink ?play with hair	What does the man do before take a drink ?shoot people	What does the man do before take a drink ?talking
4 0 TRANS28490 tumblr_nglax486gU1u3jifro1_250 What does the woman do after smile ?lean head over	What does the woman do after smile ?play guitar	What does the woman do after smile ?watch	What does the woman do after smile ?fly	What does the woman do after smile ?show peace sign
3 1 TRANS21484 tumblr_nc2meimXrD1slwrsuo1_250 What does the raccoon do after climb on log ?falls	What does the raccoon do after climb on log ?have snow on face	What does the raccoon do after climb on log ?kiss man	What does the raccoon do after climb on log ?slide off of step	What does the raccoon do after climb on log ?blink eyes
4 0 TRANS13117 tumblr_nareflaVHP1rw4ex3o1_400 What does the man do before get wet ?run to car	What does the man do before get wet ?hug a tiger	What does the man do before get wet ?stare something	What does the man do before get wet ?clap	What does the man do before get wet ?smile
2 1 TRANS21451 tumblr_nay84a39Un1tgr5e4o1_100 What does the man do before pose ?stare someone	What does the man do before pose ?dry hair	What does the man do before pose ?nod head	What does the man do before pose ?leap over the pile of players	What does the man do before pose ?embrace another woman
0 4 TRANS50888 tumblr_n8vy1zr6mL1tybtj2o1_500 What does the child do after spin ?walk out of build	What does the child do after spin ?smile	What does the child do after spin ?touch neck	What does the child do after spin ?shake finger	What does the child do after spin ?assume the split position
1 3 TRANS43466 tumblr_npkxhturUR1uxcyego1_400 What does the man do after wave arm ?smile	What does the man do after wave arm ?laugh	What does the man do after wave arm ?ride a bike	What does the man do after wave arm ?step forward	What does the man do after wave arm ?hang
0 1 TRANS10055 tumblr_nck16pEY481rr6t07o1_250 What does the hand do before briefly light on fire ?raise hand	What does the hand do before briefly light on fire ?spray with alchohol	What does the hand do before briefly light on fire ?join their arm	What does the hand do before briefly light on fire ?paw lizard	What does the hand do before briefly light on fire ?show money
3 2 TRANS48618 tumblr_nr2vau6kkr1utqicho1_500 What does the person who play soccer do after run ?stick out tongue	What does the person who play soccer do after run ?shake hand	What does the person who play soccer do after run ?trip	What does the person who play soccer do after run ?lay something down	What does the person who play soccer do after run ?touch hair
0 4 TRANS49398 tumblr_npjbm8zizK1txgyxzo1_500 What does the girl do after sit ?stop singing	What does the girl do after sit ?raise arm	What does the girl do after sit ?walk seductively into elevator	What does the girl do after sit ?run towards camera	What does the girl do after sit ?touch hat
3 2 TRANS58520 tumblr_ngxch41oJy1tkjmmko1_500 What does the woman do after put leg out ?walk with necklace	What does the woman do after put leg out ?smile	What does the woman do after put leg out ?move hand	What does the woman do after put leg out ?throw down an object	What does the woman do after put leg out ?run in
2 3 TRANS8690 tumblr_nkow356zLj1rpqr23o1_250 What does the man do after fold arm ?swirl around	What does the man do after fold arm ?sniff the stuff animal	What does the man do after fold arm ?shrug	What does the man do after fold arm ?lift a bar up	What does the man do after fold arm ?fight over a microphone
2 4 TRANS20109 tumblr_ne9tgsqfqo1snrb8oo1_400 What does the man do before make hand gesture ?approach man for hug	What does the man do before make hand gesture ?adjust the saddle	What does the man do before make hand gesture ?circle finger	What does the man do before make hand gesture ?show a peace sign	What does the man do before make hand gesture ?blow smoke
2 3 TRANS30794 tumblr_njy7o4JdmP1u2mi4fo1_400 What does the man do after make hand sign ?wait for chain to be cut	What does the man do after make hand sign ?run left	What does the man do after make hand sign ?laugh	What does the man do after make hand sign ?shape a baloon into a dog	What does the man do after make hand sign ?walk to the right
