4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
3 0 TRANS18545 tumblr_na3ymhnmXj1twnwxvo1_400 What does the girl do before cover mouth ?flip hair	What does the girl do before cover mouth ?nod	What does the girl do before cover mouth ?breathe air	What does the girl do before cover mouth ?smoke cigarette	What does the girl do before cover mouth ?attack by two puppies
0 1 TRANS25359 tumblr_naj41cmlq11s2l982o1_500 What does the man do before raise glass ?blow smoke from nose	What does the man do before raise glass ?peer over glass	What does the man do before raise glass ?beat a fish	What does the man do before raise glass ?sing	What does the man do before raise glass ?shoot gun
3 0 TRANS23550 tumblr_npz10iHpPb1ssqvb0o1_400 What does the man do after point to the screen ?point down	What does the man do after point to the screen ?shake a man hand	What does the man do after point to the screen ?sing	What does the man do after point to the screen ?lick the bottle	What does the man do after point to the screen ?dance in a pose
2 4 TRANS24317 tumblr_noyzyxj6MC1u6z5ppo1_400 What does the lady do before point forward ?kiss the girl	What does the lady do before point forward ?rock hips	What does the lady do before point forward ?walk on street	What does the lady do before point forward ?man sing	What does the lady do before point forward ?adjust a large doll
0 3 TRANS4909 tumblr_nghxngrX8m1tc47vyo1_250 What does the man do before put hand down ?lick lips	What does the man do before put hand down ?perform trick	What does the man do before put hand down ?gasp for air	What does the man do before put hand down ?wave hand	What does the man do before put hand down ?remove a sheet
2 0 TRANS3573 tumblr_nd7lsdYhvX1tsstpdo1_250 What does the woman do before stand up ?swing hair	What does the woman do before stand up ?shrug shoulder	What does the woman do before stand up ?examine the door stop	What does the woman do before stand up ?yawn	What does the woman do before stand up ?remove hand from face
2 4 TRANS29983 tumblr_n9ljcuFQoT1tptpheo1_250 What does the guy on right do before nod head ?show palm	What does the guy on right do before nod head ?embrace another woman	What does the guy on right do before nod head ?act disgusted	What does the guy on right do before nod head ?long	What does the guy on right do before nod head ?knock on table
0 2 TRANS25825 tumblr_nbl9ehQkxc1slwrsuo1_400 What does the man do before touch dog with right hand ?climb the fridge	What does the man do before touch dog with right hand ?ride bike	What does the man do before touch dog with right hand ?touch dog with left hand	What does the man do before touch dog with right hand ?chase the hat	What does the man do before touch dog with right hand ?empty
2 0 TRANS45787 tumblr_nc8uv49Wi11tp09vco1_250 What does the man with a long hair do before blow a kiss ?point the front	What does the man with a long hair do before blow a kiss ?shake hands	What does the man with a long hair do before blow a kiss ?kiss woman's cheek	What does the man with a long hair do before blow a kiss ?smile	What does the man with a long hair do before blow a kiss ?flip hair
0 3 TRANS100 tumblr_ne7k45SiYS1tgij1ho1_250 What does the man do after look up ?scowl	What does the man do after look up ?clasp hand	What does the man do after look up ?flex	What does the man do after look up ?yell	What does the man do after look up ?lower right arm
4 3 TRANS57360 tumblr_ni3bhgVXHU1u86ghoo1_500 What does the woman do after flip over couch ?pick up earphones	What does the woman do after flip over couch ?point finger	What does the woman do after flip over couch ?close	What does the woman do after flip over couch ?dance in alley	What does the woman do after flip over couch ?grab hat
2 0 TRANS31974 tumblr_nioykxiLQG1u78adpo1_250 What does the woman do after try to open door ?knock on door	What does the woman do after try to open door ?long	What does the woman do after try to open door ?change to fret on bottom	What does the woman do after try to open door ?dance	What does the woman do after try to open door ?left
0 3 TRANS50487 tumblr_nbz9evJpXZ1tgqwj8o1_250 What does the woman do before blink rapidly ?smile	What does the woman do before blink rapidly ?shake head	What does the woman do before blink rapidly ?laugh	What does the woman do before blink rapidly ?close eye	What does the woman do before blink rapidly ?stick tongue out
1 4 TRANS57198 tumblr_nhy4mwvSbf1u05z12o1_500 What does the lady do after drink from glass ?grab opponent	What does the lady do after drink from glass ?point	What does the lady do after drink from glass ?close mouth	What does the lady do after drink from glass ?pick right leg up slightly	What does the lady do after drink from glass ?dance with man
0 1 TRANS26716 tumblr_n9p1stcULz1t5ojzdo1_250 What does the girl in white dress do after lean right ?flip hair	What does the girl in white dress do after lean right ?speak	What does the girl in white dress do after lean right ?slide down the hill	What does the girl in white dress do after lean right ?snap hand	What does the girl in white dress do after lean right ?stretch out arm
4 1 TRANS38148 tumblr_nc40txavRM1tm4pbeo1_400 What does the man do after clap hands ?bite on the nose by a dog	What does the man do after clap hands ?start running	What does the man do after clap hands ?kiss camera	What does the man do after clap hands ?smile	What does the man do after clap hands ?lift a guitar
0 3 TRANS19714 tumblr_nqwmhysJ721ua5q7mo1_500 What does the man in hat do after lean on rail ?dance on counter	What does the man in hat do after lean on rail ?sing	What does the man in hat do after lean on rail ?lick lips	What does the man in hat do after lean on rail ?point	What does the man in hat do after lean on rail ?shake body
4 2 TRANS17332 tumblr_ncmwncdo4G1tkvxi0o1_400 What does the man do after smile ?smooth the shirt front	What does the man do after smile ?lick cat	What does the man do after smile ?raise eyebrows	What does the man do after smile ?smell something	What does the man do after smile ?blink eyes
1 4 TRANS35138 tumblr_npbx8sIsp91r7h56fo1_400 What does the man do after squat ?straight face	What does the man do after squat ?slide down hill	What does the man do after squat ?bite a towel	What does the man do after squat ?kiss finger	What does the man do after squat ?raise head
1 0 TRANS16463 tumblr_npzz6lGvVe1u32cyao1_400 What does the man do before close a door ?shake head	What does the man do before close a door ?open the gown and show legs	What does the man do before close a door ?perform trick	What does the man do before close a door ?drive on the road	What does the man do before close a door ?lower arm
2 1 TRANS2217 tumblr_njxgjz9Wjv1qanpfzo1_250 What does the woman do before slide on the snow ?dance on stage	What does the woman do before slide on the snow ?push hand	What does the woman do before slide on the snow ?kneel	What does the woman do before slide on the snow ?bark	What does the woman do before slide on the snow ?smile
3 4 TRANS6429 tumblr_nguilcoM241r74jdyo1_250 What does the blonde man do before spin in place ?sprinkle dot	What does the blonde man do before spin in place ?drink something from a bottle	What does the blonde man do before spin in place ?ifts a hand to the camera	What does the blonde man do before spin in place ?release him	What does the blonde man do before spin in place ?face wall
3 0 TRANS7746 tumblr_njvix3hzTK1u3wykjo1_250 What does the girl on right do after stare forward ?lift left hand	What does the girl on right do after stare forward ?skate	What does the girl on right do after stare forward ?pour wine	What does the girl on right do after stare forward ?cuddle kitten closer	What does the girl on right do after stare forward ?talk
0 2 TRANS9757 tumblr_n9o3ecQ2qW1tnenrmo1_250 What does the lady do before look up ?smile	What does the lady do before look up ?talk	What does the lady do before look up ?lower hand	What does the lady do before look up ?hop on rock	What does the lady do before look up ?wink
3 4 TRANS24754 tumblr_njybdpBevs1tjf7k6o1_500 What does the man do after stand ?run fastly	What does the man do after stand ?talk to woman	What does the man do after stand ?write on it	What does the man do after stand ?start wave hand	What does the man do after stand ?bow
1 4 TRANS16464 tumblr_npzz6lGvVe1u32cyao1_400 What does the man do after shake head ?chew	What does the man do after shake head ?wave hand	What does the man do after shake head ?hop backwards	What does the man do after shake head ?flip other guy	What does the man do after shake head ?close a door
1 3 TRANS49967 tumblr_nbundwuFt21tj58p2o1_500 What does the guitar do before get put onto counter ?knock over motorcycle	What does the guitar do before get put onto counter ?grab sunglasses	What does the guitar do before get put onto counter ?shake head and smile	What does the guitar do before get put onto counter ?in man's hand	What does the guitar do before get put onto counter ?laugh
2 3 TRANS31895 tumblr_n9hw28peTq1s61fbqo1_400 What does the fish do before swim right ?dance	What does the fish do before swim right ?lift legs upward	What does the fish do before swim right ?bend body	What does the fish do before swim right ?look left	What does the fish do before swim right ?sing a song
