0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
0 1 TRANS38740 tumblr_nal0jspahs1tf3n29o1_400 What does the woman do after smile ?eat	What does the woman do after smile ?wave hand	What does the woman do after smile ?pick up food	What does the woman do after smile ?shoot gun	What does the woman do after smile ?pretend to bite the doll
2 3 TRANS13371 tumblr_nkx0zarpkq1r0ia88o1_400 What does the man do before rub hand ?gesture toward audience	What does the man do before rub hand ?motion hand like cat	What does the man do before rub hand ?nod head	What does the man do before rub hand ?eat	What does the man do before rub hand ?slide down
0 3 TRANS44513 tumblr_n8wsbjPwDe1rwrktro1_500 What does the singer do before drop one hand ?sit at desk	What does the singer do before drop one hand ?pick up phone	What does the singer do before drop one hand ?walk forward	What does the singer do before drop one hand ?wave with both hand	What does the singer do before drop one hand ?laugh
1 3 TRANS16234 tumblr_nco9okZ0s41qexaavo1_500 What does the woman do after look straight into the camera ?enter frame	What does the woman do after look straight into the camera ?walk in	What does the woman do after look straight into the camera ?land on ground	What does the woman do after look straight into the camera ?twist neck around	What does the woman do after look straight into the camera ?run
4 3 TRANS9062 tumblr_njoamk0kmi1unf50eo1_250 What does the man in red shirt do after stand on the right side of the frame ?shuffle them	What does the man in red shirt do after stand on the right side of the frame ?applaud	What does the man in red shirt do after stand on the right side of the frame ?wave cape	What does the man in red shirt do after stand on the right side of the frame ?do a back flip	What does the man in red shirt do after stand on the right side of the frame ?intrigue
1 0 TRANS1194 tumblr_nhtvoxRl041u79y8lo1_250 What does the man do after smile ?open mouth wide	What does the man do after smile ?stern	What does the man do after smile ?grind over a ledge	What does the man do after smile ?surf on the ocean	What does the man do after smile ?slump while cry
3 1 TRANS33150 tumblr_nbbwerXfuY1sjt7a5o1_500 What does the guitarist do after play guitar ?scream	What does the guitarist do after play guitar ?step away from camera	What does the guitarist do after play guitar ?bite lip	What does the guitarist do after play guitar ?sing	What does the guitarist do after play guitar ?eat something
4 1 TRANS39054 tumblr_nka49rCQ1x1u5t7nqo1_400 What does the man who hold a plastic wrap do after sneak up on guy against wall ?hit from behind	What does the man who hold a plastic wrap do after sneak up on guy against wall ?attach a guy on the wall with plastic wrap	What does the man who hold a plastic wrap do after sneak up on guy against wall ?smile	What does the man who hold a plastic wrap do after sneak up on guy against wall ?walk	What does the man who hold a plastic wrap do after sneak up on guy against wall ?surprise
2 0 TRANS28288 tumblr_ngmmfgoexo1u5nlrbo1_250 What does the singer do after look at audience ?start sing	What does the singer do after look at audience ?hug girl	What does the singer do after look at audience ?stare	What does the singer do after look at audience ?pose	What does the singer do after look at audience ?bend halfway down
3 4 TRANS45934 tumblr_ndckk40bTy1r7f6ubo1_250 What do the wrestler with red pants do after pick up other guy ?behind other car	What do the wrestler with red pants do after pick up other guy ?close hand	What do the wrestler with red pants do after pick up other guy ?raise left hand	What do the wrestler with red pants do after pick up other guy ?place between feet	What do the wrestler with red pants do after pick up other guy ?flip other guy in air
2 3 TRANS19350 tumblr_n9e5kmjc6O1stz49yo1_400 What does the woman do after look over shoulder ?ride a bike	What does the woman do after look over shoulder ?spin around	What does the woman do after look over shoulder ?fix hair	What does the woman do after look over shoulder ?face forward	What does the woman do after look over shoulder ?fly
2 4 TRANS35032 tumblr_ne4ukt1AIR1r7zltao1_400 What does the woman do after raise bouquet ?lift hand to face in cry motion	What does the woman do after raise bouquet ?reach out	What does the woman do after raise bouquet ?point finger upwards	What does the woman do after raise bouquet ?hide in grassy field	What does the woman do after raise bouquet ?dance
4 2 TRANS4784 tumblr_nda9e7zTaJ1tc8uu9o1_400 What does the woman do after smile ?dance	What does the woman do after smile ?crouch	What does the woman do after smile ?point	What does the woman do after smile ?hug man	What does the woman do after smile ?shake head and smile
4 3 TRANS43285 tumblr_njzig0qT8k1qczfu6o1_1280 What does the man with a white jacket do before look to the side ?run	What does the man with a white jacket do before look to the side ?point gun	What does the man with a white jacket do before look to the side ?drop card	What does the man with a white jacket do before look to the side ?sing	What does the man with a white jacket do before look to the side ?step forward
4 0 TRANS54027 tumblr_nk31otefby1tleghwo1_500 What does the woman do before kiss a man ?blink eyes	What does the woman do before kiss a man ?open both eyes	What does the woman do before kiss a man ?run to the left	What does the woman do before kiss a man ?talk something	What does the woman do before kiss a man ?bring a cellphone in front of him
1 2 TRANS54407 tumblr_nr8fuwKi3C1svfwd4o1_500 What does the woman do before flip head back up ?point	What does the woman do before flip head back up ?face to the left	What does the woman do before flip head back up ?hang head	What does the woman do before flip head back up ?touch man's face	What does the woman do before flip head back up ?smile
0 3 TRANS41695 tumblr_nbaueqBZgl1r8n3ceo1_400 What does the man do before shake head ?face in pillow	What does the man do before shake head ?lift both hands	What does the man do before shake head ?run to a wall	What does the man do before shake head ?listen a story from a woman	What does the man do before shake head ?shoot camera
4 1 TRANS56006 tumblr_n94g0xApdN1rqb3bqo1_500 What does the man do after high fives another man ?run	What does the man do after high fives another man ?hug him	What does the man do after high fives another man ?start to wave the stick in the air	What does the man do after high fives another man ?open fist	What does the man do after high fives another man ?point two index finger to nose
1 0 TRANS46874 tumblr_nglxv67MiY1qaj27do1_500 What does the man do after put hand down ?raise hand and circle mouth	What does the man do after put hand down ?kiss friend	What does the man do after put hand down ?straight	What does the man do after put hand down ?smile	What does the man do after put hand down ?flip through air
1 0 TRANS46140 tumblr_nk2qwwqNBf1svos5ho1_400 What does the person on center do after touch face ?point someone	What does the person on center do after touch face ?kiss forehead	What does the person on center do after touch face ?shake	What does the person on center do after touch face ?smile	What does the person on center do after touch face ?flip hair
4 2 TRANS14806 tumblr_n7qhpuhuM81tbse9vo1_250 What does the man do after stare at candy ?motion hand	What does the man do after stare at candy ?shock	What does the man do after stare at candy ?eat candy	What does the man do after stare at candy ?wave hand around	What does the man do after stare at candy ?nod
0 3 TRANS54800 tumblr_n941xboVDa1sdnal9o1_500 What does the man do after blink ?talk	What does the man do after blink ?stop at microphone	What does the man do after blink ?catch a ball	What does the man do after blink ?lean right	What does the man do after blink ?walk
2 3 TRANS53265 tumblr_n9xajuUoU71t5ojzdo1_250 What does the person do before transfer it to the other hand ?still	What does the person do before transfer it to the other hand ?talk	What does the person do before transfer it to the other hand ?say something	What does the person do before transfer it to the other hand ?lift the medallion in one hand	What does the person do before transfer it to the other hand ?catch ball
2 4 TRANS40201 tumblr_np67fnXaAj1tatohao1_400 What does the man do before rub fox's belly ?raise eyebrows	What does the man do before rub fox's belly ?run	What does the man do before rub fox's belly ?have ice cube put into it	What does the man do before rub fox's belly ?point gun	What does the man do before rub fox's belly ?kiss fox
4 1 TRANS48643 tumblr_nq9j5lIaD11uz0qnyo1_500 What does the lady do before lean on wall ?talk	What does the lady do before lean on wall ?lift head	What does the lady do before lean on wall ?laugh	What does the lady do before lean on wall ?lie on a stair	What does the lady do before lean on wall ?say yes
3 0 TRANS17722 tumblr_nfeuh8BWNQ1twbhg8o1_400 What does the girl who appeared from left do after hug friend ?fall back	What does the girl who appeared from left do after hug friend ?wipe face	What does the girl who appeared from left do after hug friend ?lick the dog	What does the girl who appeared from left do after hug friend ?hug man	What does the girl who appeared from left do after hug friend ?jerk head
1 3 TRANS49967 tumblr_nbundwuFt21tj58p2o1_500 What does the guitar do before get put onto counter ?knock over motorcycle	What does the guitar do before get put onto counter ?grab sunglasses	What does the guitar do before get put onto counter ?shake head and smile	What does the guitar do before get put onto counter ?in man's hand	What does the guitar do before get put onto counter ?laugh
